,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
10,수박,221,수박(1개),0,중품,5,1개,당일 (01/20),23900.0,1일전 (01/19),-,1주일전 (01/13),22500.0,2주일전 (01/06),22500.0,1개월전,23803.0,1년전,24753.0,일평년,"22,814",2025-01-20,5.857740585774058,5.857740585774058,0.40585774058577406,-3.569037656903766
11,오이,223,가시계통(10개),1,상품,4,10개,당일 (01/20),17400.0,1일전 (01/19),-,1주일전 (01/13),17400.0,2주일전 (01/06),17400.0,1개월전,17174.0,1년전,18563.0,일평년,"16,141",2025-01-20,0.0,0.0,1.2988505747126435,-6.683908045977012
12,오이,223,다다기계통(10개),2,상품,4,10개,당일 (01/20),13100.0,1일전 (01/19),-,1주일전 (01/13),12600.0,2주일전 (01/06),11950.0,1개월전,13200.0,1년전,12858.0,일평년,"12,467",2025-01-20,3.816793893129771,8.778625954198473,-0.7633587786259541,1.8473282442748091
13,오이,223,취청(10개),3,상품,4,10개,당일 (01/20),15350.0,1일전 (01/19),-,1주일전 (01/13),13600.0,2주일전 (01/06),12450.0,1개월전,17500.0,1년전,17638.0,일평년,"14,468",2025-01-20,11.400651465798045,18.892508143322477,-14.006514657980457,-14.905537459283389
14,호박,224,애호박(1개),1,상품,4,1개,당일 (01/20),2220.0,1일전 (01/19),-,1주일전 (01/13),2105.0,2주일전 (01/06),2020.0,1개월전,1893.0,1년전,2316.0,일평년,"2,322",2025-01-20,5.18018018018018,9.00900900900901,14.72972972972973,-4.324324324324325
15,호박,224,애호박(1개),1,중품,5,1개,당일 (01/20),2000.0,1일전 (01/19),-,1주일전 (01/13),1660.0,2주일전 (01/06),1600.0,1개월전,1419.0,1년전,1721.0,일평년,"1,724",2025-01-20,17.0,20.0,29.049999999999997,13.950000000000001
16,호박,224,쥬키니(1개),2,상품,4,1개,당일 (01/20),2000.0,1일전 (01/19),-,1주일전 (01/13),2000.0,2주일전 (01/06),2000.0,1개월전,1714.0,1년전,1934.0,일평년,"1,902",2025-01-20,0.0,0.0,14.299999999999999,3.3000000000000003
17,토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/20),5280.0,1일전 (01/19),-,1주일전 (01/13),5570.0,2주일전 (01/06),5965.0,1개월전,8083.0,1년전,6397.0,일평년,"5,711",2025-01-20,-5.492424242424242,-12.973484848484848,-53.08712121212121,-21.15530303030303
18,딸기,226,딸기(100g),0,상품,4,100g,당일 (01/20),2255.0,1일전 (01/19),-,1주일전 (01/13),2025.0,2주일전 (01/06),2395.0,1개월전,2682.0,1년전,1877.0,일평년,"1,818",2025-01-20,10.199556541019955,-6.208425720620843,-18.93569844789357,16.762749445676274
19,딸기,226,딸기(100g),0,중품,5,100g,당일 (01/20),1650.0,1일전 (01/19),-,1주일전 (01/13),1550.0,2주일전 (01/06),1950.0,1개월전,2182.0,1년전,1554.0,일평년,"1,472",2025-01-20,6.0606060606060606,-18.181818181818183,-32.24242424242424,5.818181818181818
20,무,231,월동(1개),6,상품,4,1개,당일 (01/20),2940.0,1일전 (01/19),-,1주일전 (01/13),3190.0,2주일전 (01/06),2820.0,1개월전,3189.0,1년전,1449.0,일평년,"1,843",2025-01-20,-8.503401360544217,4.081632653061225,-8.46938775510204,50.71428571428571
21,무,231,월동(1개),6,중품,5,1개,당일 (01/20),2500.0,1일전 (01/19),-,1주일전 (01/13),3000.0,2주일전 (01/06),2330.0,1개월전,2562.0,1년전,1390.0,일평년,"1,641",2025-01-20,-20.0,6.800000000000001,-2.48,44.4
22,당근,232,무세척(1kg),1,상품,4,1kg,당일 (01/20),5490.0,1일전 (01/19),-,1주일전 (01/13),5695.0,2주일전 (01/06),5655.0,1개월전,6474.0,1년전,3381.0,일평년,"3,684",2025-01-20,-3.7340619307832426,-3.0054644808743167,-17.923497267759565,38.41530054644809
23,열무,233,열무(1kg),0,상품,4,1kg,당일 (01/20),2560.0,1일전 (01/19),-,1주일전 (01/13),2655.0,2주일전 (01/06),2325.0,1개월전,2861.0,1년전,8238.0,일평년,"3,510",2025-01-20,-3.7109375,9.1796875,-11.7578125,-221.79687499999997
24,건고추,241,화건(600g),0,상품,4,600g,당일 (01/20),14600.0,1일전 (01/19),-,1주일전 (01/13),14600.0,2주일전 (01/06),14600.0,1개월전,18050.0,1년전,18530.0,일평년,"16,077",2025-01-20,0.0,0.0,-23.63013698630137,-26.91780821917808
25,풋고추,242,풋고추(녹광 등)(100g),0,상품,4,100g,당일 (01/20),1980.0,1일전 (01/19),-,1주일전 (01/13),1980.0,2주일전 (01/06),1980.0,1개월전,1382.0,1년전,1620.0,일평년,"1,359",2025-01-20,0.0,0.0,30.2020202020202,18.181818181818183
26,풋고추,242,꽈리고추(100g),2,상품,4,100g,당일 (01/20),1670.0,1일전 (01/19),-,1주일전 (01/13),1490.0,2주일전 (01/06),1405.0,1개월전,1392.0,1년전,1793.0,일평년,"1,589",2025-01-20,10.778443113772456,15.868263473053892,16.646706586826348,-7.365269461077845
27,풋고추,242,청양고추(100g),3,상품,4,100g,당일 (01/20),1470.0,1일전 (01/19),-,1주일전 (01/13),1455.0,2주일전 (01/06),1420.0,1개월전,1348.0,1년전,1364.0,일평년,"1,369",2025-01-20,1.0204081632653061,3.4013605442176873,8.299319727891156,7.210884353741497
