,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
29,풋고추,242,오이맛고추(100g),04,중품,05,100g,당일 (11/01),"1,115",1일전 (10/31),"1,115",1주일전 (10/25),"1,100",2주일전 (10/18),-,1개월전,-,1년전,-,일평년,-,2024-11-01
30,붉은고추,243,붉은고추(100g),00,상품,04,100g,당일 (11/01),"2,748",1일전 (10/31),"2,748",1주일전 (10/25),"2,955",2주일전 (10/18),"2,353",1개월전,"2,479",1년전,"1,960",일평년,"1,922",2024-11-01
31,양파,245,양파(1kg),00,상품,04,1kg,당일 (11/01),"2,400",1일전 (10/31),"2,400",1주일전 (10/25),"2,198",2주일전 (10/18),"2,053",1개월전,"2,138",1년전,"2,108",일평년,"2,193",2024-11-01
32,양파,245,양파(1kg),00,중품,05,1kg,당일 (11/01),-,1일전 (10/31),-,1주일전 (10/25),"1,800",2주일전 (10/18),"2,030",1개월전,-,1년전,"1,926",일평년,"1,848",2024-11-01
33,파,246,대파(1kg),00,상품,04,1kg,당일 (11/01),"4,275",1일전 (10/31),"4,275",1주일전 (10/25),"4,258",2주일전 (10/18),"3,533",1개월전,"3,453",1년전,"3,799",일평년,"3,365",2024-11-01
34,파,246,대파(1kg),00,중품,05,1kg,당일 (11/01),"2,460",1일전 (10/31),"2,460",1주일전 (10/25),"2,600",2주일전 (10/18),"2,400",1개월전,"2,480",1년전,"3,068",일평년,"2,389",2024-11-01
35,파,246,쪽파(1kg),02,상품,04,1kg,당일 (11/01),"8,360",1일전 (10/31),"8,243",1주일전 (10/25),"9,567",2주일전 (10/18),"10,493",1개월전,"11,227",1년전,"6,369",일평년,"6,469",2024-11-01
36,생강,247,국산(1kg),00,상품,04,1kg,당일 (11/01),"10,820",1일전 (10/31),"10,820",1주일전 (10/25),"11,465",2주일전 (10/18),"11,540",1개월전,"14,872",1년전,"11,335",일평년,"10,153",2024-11-01
37,고춧가루,248,국산(1kg),00,상품,04,1kg,당일 (11/01),"30,775",1일전 (10/31),"30,775",1주일전 (10/25),"33,975",2주일전 (10/18),"32,375",1개월전,"34,901",1년전,"31,471",일평년,"31,964",2024-11-01
38,고춧가루,248,중국(1kg),01,상품,04,1kg,당일 (11/01),"11,650",1일전 (10/31),"11,650",1주일전 (10/25),"11,650",2주일전 (10/18),"11,050",1개월전,"13,396",1년전,"13,650",일평년,"12,139",2024-11-01
